Model name,Weight,Params,Search train acc,Search valid acc,Search crit loss,Search reg loss,Parameters,FLOPs,Latency GPU,Latency CPU
L1_loss_2e01,0.2,1.72999,10.204000000305175,10.084,2.3025872707366943,3.348299264907837,1729990,282015360,11.957521438598633,68.06811809539795
L1_loss_2e02,0.020021114821329324,1.81423,25.035999994506835,20.171999999084473,1.9922981262207031,16.01249122619629,1814230,294456960,13.451919555664062,82.00092792510986
L1_loss_1e02,0.011277418944174018,1.401886,27.951999997558595,22.41600000488281,1.90716552734375,22.703113555908203,1401886,230617728,11.98986530303955,60.377774238586426
L1_loss_8e03,0.008108502424759629,2.325718,34.695999993896486,32.45199999328613,1.7193527221679688,37.168312072753906,2325718,373668480,20.029072761535645,147.7306890487671
L1_loss_4e03,0.003980938981762601,2.560726,48.16000000488281,39.73199999267578,1.4652928113937378,76.7562255859375,2560726,392441472,20.827617645263672,144.4282627105713
L1_loss_2e03,0.002094899083126409,1.817686,60.279999986572264,57.17599999511719,1.1321109533309937,145.2736358642578,1817686,294899328,14.478168487548828,84.59325313568115
L1_loss_8e04,0.0008020363537325594,3.413494,72.73199997558594,70.94400001708985,0.8635732531547546,363.38531494140625,3413494,559380096,29.017720222473145,217.64610290527344
L1_loss_2e04,0.00024412425254471807,3.970342,85.41999998046875,81.69199997314453,0.5429979562759399,1119.1812744140625,3970342,636048000,35.15981197357178,316.47525787353516
L1_loss_1e04,0.00011149062957142099,4.247902,91.03200000976562,85.26000000976562,0.36076560616493225,2422.520751953125,4247902,661290624,35.18656253814697,323.7582492828369
L1_loss_7e06,7.436404993225855e-06,3.281086,92.90799999267578,85.24400001220702,0.3053900897502899,14766.0244140625,3281086,506544768,27.94586181640625,226.5882444381714
L1_loss_4e06,4.486187188463716e-06,3.987622,93.33599998046876,85.26399997314454,0.261741578578949,15828.5439453125,3987622,628887168,35.62972068786621,302.93954849243164
L1_loss_3e06,3.2628020119402613e-06,3.100726,92.7279999975586,85.08800000488282,0.2575916349887848,16296.5908203125,3100726,482214528,25.920109748840332,209.53062057495117
