Model name,weight,Size,train_loss,train_acc,valid_loss,valid_acc,test_loss,test_acc,Search criterion loss,Search regularization loss,Search accuracy,Parameters,FLOPs,Latency GPU,Latency CPU
l1_loss_1e02,0.01,1.72,0.840773,79.566668,0.192767,93.460001,0.202705,93.160002,1.96726393699646,18.721858978271484,14.795999998474121,2196264,272062080,13.23540210723877,65.73777198791504
l1_loss_9e03,0.009,1.45,1.035033,75.099999,0.236198,92.179999,0.252891,91.599999,1.8311327695846558,30.043397903442383,26.627999993896484,1929504,235732608,10.142326354980469,49.45416450500488
l1_loss_5e03,0.005,1.66,1.094266,72.002222,0.217155,92.86,0.239879,92.32,1.5565099716186523,61.95624542236328,42.44399999267578,2133624,269297280,11.449480056762695,59.56442356109619
l1_loss_3e03,0.003,2.56,0.788222,78.804445,0.140342,95.159999,0.159632,94.549998,1.2744611501693726,105.47210693359375,50.7399999987793,3037152,392441472,22.797513008117676,111.15860939025879
l1_loss_1e03,0.001,3.1,0.325298,92.213334,0.129771,96.100001,0.134775,95.8,0.9669305086135864,257.2087707519531,65.99199999267579,3578232,494822016,25.398659706115723,141.0691261291504
l1_loss_4e04,0.0004,4.03,0.772892,79.415551,0.132598,95.759997,0.133643,95.549998,0.7086062431335449,781.54736328125,78.26799998779296,4510704,647632512,32.22630023956299,266.99275970458984
l1_loss_2e04,0.0002,3.73,0.189576,96.042223,0.132088,97.080001,0.121617,96.890002,0.4681856632232666,1536.4522705078125,83.63200001220703,4209600,595156608,31.15077018737793,221.89748287200928
l1_loss_6e05,6e-05,3.08,0.058961,98.888891,0.126602,97.060001,0.128057,96.790001,0.3521410822868347,9315.9013671875,84.8080000024414,3553608,483735168,21.943950653076172,163.02931308746338
